ok	lemma	pos	rank	current	suggested	note
y	de	preposición	1	Palabra que une dos ideas y muestra relación entre ellas.	Indica a quién pertenece algo, su origen o su material.	agent fix: Starts with 'Palabra que'; too vague (fits any linking word).
y	el	determinante	2	Palabra que señala un nombre de cosa o persona.	Va delante de un nombre e indica algo ya conocido.	agent fix: Starts with 'Palabra que'; 'señala' fits demonstratives, not the article.
y	que	pronombre	3	Une dos partes de una frase.	Señala a una persona o cosa ya dicha y une dos frases.	agent fix: Too vague: 'une dos partes de una frase' fits any conjunction; this is the relative pronoun.
y	en	preposición	5	Indica lugar donde algo está o sucede.	Indica lugar donde algo está o sucede.	agent ok
y	y	conjunción	6	Une palabras o frases que se suman.	Une palabras o frases que se suman.	agent ok
y	a	preposición	7	Indica dirección hacia un lugar o persona.	Indica dirección hacia un lugar o persona.	agent ok
y	se	pronombre	9	Palabra que muestra que la acción afecta al sujeto.	Muestra que la acción vuelve sobre quien la hace.	agent fix: Starts with 'Palabra que'.
y	un	determinante	11	Señala un nombre de cosa o persona.	Presenta algo por primera vez, sin decir cuál.	agent ok
y	por	preposición	13	Indica causa motivo o medio para algo.	Indica la causa, el motivo o el medio de algo.	agent fix: Missing comma in list; unnatural.
y	con	preposición	14	Indica compañía o instrumento para hacer algo.	Indica compañía o instrumento para hacer algo.	agent ok
y	no	adverbio	15	Indica que algo no es verdad o no pasa.	Niega lo que se dice después.	agent ok
y	para	preposición	17	Indica destino destino o finalidad de algo.	Indica el destino o la finalidad de algo.	agent fix: Repeated word 'destino destino'.
y	ser	verbo	18	Indica cómo es algo o qué es algo.	Indica la identidad, el origen o una característica de algo.	agent fix: 'calidad' is the wrong word (quality level); the sense is 'cualidad', which the book lacks
y	su	determinante	19	Indica posesión o relación con alguien.	Indica que algo pertenece a él, ella, ellos o usted.	agent fix: Too vague: fits mi, tu, nuestro; must say whose.
y	haber	verbo	21	Palabra que indica que algo existe o que algo ocurrió.	Ayuda a formar tiempos pasados o indica que algo existe.	agent fix: Starts with 'Palabra que'.
y	lo	pronombre	22	Reemplaza a un nombre de cosa o persona.	Ocupa el lugar de algo o alguien del que ya se habló.	agent ok
y	más	adverbio	23	Indica grado superior o mayor cantidad.	Indica grado superior o mayor cantidad.	agent ok
y	como	conjunción	24	Palabra que une dos ideas para mostrar parecido entre ellas.	Indica que algo se parece a otra cosa o se hace igual.	agent fix: Starts with 'Palabra que'.
y	pero	conjunción	25	Une ideas diferentes con sentido de oposición.	Une ideas diferentes con sentido de oposición.	agent ok
y	o	conjunción	27	Une alternativas o distintas opciones.	Une dos ideas entre las que hay que elegir.	agent ok
y	si	conjunción	29	Expresa condición para que ocurra algo.	Expresa condición para que ocurra algo.	agent ok
y	le	pronombre	30	Indica persona o cosa que recibe la acción.	Señala a la persona a quien se da o se dice algo.	agent fix: 'Recibe la acción' describes the direct object (lo/la); le is indirect.
y	este	determinante	31	Señala algo cercano a quien habla.	Señala algo cercano a quien habla.	agent ok
y	año	sustantivo	32	Período de doce meses consecutivos.	Período de doce meses consecutivos.	agent ok
y	ya	adverbio	34	Indica que algo ocurrió antes.	Indica que algo ocurrió antes.	agent ok
y	también	adverbio	35	Indica que se suma algo más.	Indica que se suma algo más.	agent ok
y	sin	preposición	36	Indica ausencia o falta de algo.	Indica ausencia o falta de algo.	agent ok
y	decir	verbo	37	Expresar algo con palabras.	Expresar algo con palabras.	agent ok
y	dos	numeral	38	Número que sigue al uno.	Número que sigue al uno.	agent ok
y	desde	preposición	39	Indica punto de partida en el tiempo.	Indica punto de partida en el tiempo.	agent ok
y	sobre	preposición	40	Indica posición superior sin contacto con algo.	Indica que algo está encima de otra cosa.	agent fix: Wrong: 'sobre' normally implies contact (el libro sobre la mesa).
y	cuando	conjunción	43	Expresa el momento en que ocurre algo.	Expresa el momento en que ocurre algo.	agent ok
y	entre	preposición	45	Indica posición o relación en medio de dos o más.	Indica posición o relación en medio de dos o más.	agent ok
y	estar	verbo	46	Indica situación o estado temporal de algo o alguien.	Indica situación o estado temporal de algo o alguien.	agent ok
y	me	pronombre	47	Indica que la acción afecta a la primera persona.	Indica que la acción afecta a la primera persona.	agent ok
y	muy	adverbio	48	Indica grado alto o intenso de algo.	Indica grado alto o intenso de algo.	agent ok
y	así	adverbio	50	Indica modo o manera de ocurrir algo.	Indica modo o manera de ocurrir algo.	agent ok
y	todo	determinante	51	Indica conjunto completo sin excepción.	Indica conjunto completo sin excepción.	agent ok
y	porque	conjunción	52	Indica causa o motivo de algo.	Indica causa o motivo de algo.	agent ok
y	según	preposición	53	Indica referencia a algo o a alguien.	Indica la persona o la fuente de la que viene una opinión.	agent fix: Too vague; does not say what según means.
y	tener	verbo	54	Poseer algo o a alguien como propio.	Poseer algo o a alguien como propio.	agent ok
y	hasta	preposición	56	Indica el límite o extremo de algo.	Indica el límite o extremo de algo.	agent ok
y	además	adverbio	57	Se usa para añadir algo a lo dicho.	Se usa para añadir algo a lo dicho.	agent ok
y	millón	sustantivo	58	Número que indica mil veces mil.	Número que indica mil veces mil.	agent ok
y	hacer	verbo	59	Realizar una acción o actividad.	Realizar una acción o actividad.	agent ok
y	uno	numeral	60	Número que indica una sola unidad.	Número que indica una sola unidad.	agent ok
y	ahora	adverbio	61	En el momento presente o actual.	En el momento presente o actual.	agent ok
y	país	sustantivo	62	Territorio con gobierno y fronteras propias.	Territorio con gobierno y fronteras propias.	agent ok
y	ese	pronombre	63	Señala algo o a alguien más lejos.	Señala algo o a alguien cercano a la persona que escucha.	agent fix: 'Más lejos' with no reference point; ese is near the listener.
y	poder	verbo	64	Tener la capacidad o posibilidad de.	Tener la capacidad o la posibilidad de hacer algo.	agent fix: Sentence ends on a dangling 'de'.
y	donde	adverbio	65	En el lugar en que algo ocurre o se sitúa.	En el lugar en que algo ocurre o se sitúa.	agent ok
y	después	adverbio	66	En un momento posterior a otro ya mencionado.	En un momento posterior a otro ya mencionado.	agent ok
